,Dataset,Thresold,Sequence,Kappa,F1_score
235,7_m_Mi,4,structural,-0.038791981254881126,0.0
236,7_m_Mi,4,functional,,
237,7_m_Se,4,anatomical,0.12498848669061445,0.0
238,7_m_Se,4,structural,-0.0066723239987353964,0.0
239,7_m_Se,4,functional,,
240,7_m_St,4,anatomical,0.5591666666666665,0.0
241,7_m_St,4,structural,,
242,7_m_St,4,functional,,
243,7_rab_Mu,4,anatomical,0.22077922077922046,0.0
244,7_rab_Mu,4,structural,0.12946428571428464,0.0
245,7_rab_Mu,4,functional,,
246,7_r_Se,4,anatomical,0.49784196547144727,0.0
247,7_r_Se,4,structural,0.21100224750667324,0.0
248,7_r_Se,4,functional,,
249,7_r_So,4,anatomical,-0.008064516129019284,0.0
250,7_r_So,4,structural,,
251,7_r_So,4,functional,,
252,94c_m_As,4,anatomical,0.27927927927927826,0.0
253,94c_m_As,4,structural,0.0028490028490027884,0.0
254,94c_m_As,4,functional,-0.00628930817610062,0.0
255,94_g_We,4,anatomical,0.20646234259919477,0.0
256,94_g_We,4,structural,,
257,94_g_We,4,functional,0.06388936388508924,0.6666666666666666
258,94_m_As,4,anatomical,0.22945205479452063,0.0
259,94_m_As,4,structural,0.358333333333333,0.0
260,94_m_As,4,functional,0.09317211948790864,0.0
261,94_m_Rei,4,anatomical,-0.04166666666666695,0.0
262,94_m_Rei,4,structural,,
263,94_m_Rei,4,functional,,
264,94_m_Va,4,anatomical,0.16717356042173506,0.0
265,94_m_Va,4,structural,0.20041397809279443,0.0
266,94_m_Va,4,functional,,
267,94_m_We,4,anatomical,0.35481003997746235,0.13333333333333333
268,94_m_We,4,structural,-0.2237762237762244,0.0
269,94_m_We,4,functional,-0.053610406606580764,0.1739130434782609
270,94_r_Fr,4,anatomical,0.27978956403350363,0.0
271,94_r_Fr,4,structural,-0.1057981266854249,0.0
272,94_r_Fr,4,functional,,
273,94_r_We,4,anatomical,-0.01052009456264832,0.0
274,94_r_We,4,structural,-0.12973074750517824,0.0
275,94_r_We,4,functional,0.11179775280898588,0.0
276,117c_m_Ri,5,anatomical,,
277,117c_m_Ri,5,structural,0.1616586538461539,0.0
278,117c_m_Ri,5,functional,0.24075275794938333,0.0
279,117_m_Ra,5,anatomical,0.3777250077857366,0.0
280,117_m_Ra,5,structural,0.6327683615819212,0.0
281,117_m_Ra,5,functional,0.29911955514365113,0.0
282,117_m_Vr,5,anatomical,0.05000000000000301,0.0
283,117_m_Vr,5,structural,,
284,117_m_Vr,5,functional,0.3274485077763765,0.0
285,164_m_Ku,5,anatomical,0.2827147360957629,0.08333333333333333
286,164_m_Ku,5,structural,0.4021942985746432,0.5
287,164_m_Ku,5,functional,,
288,7_h_He,5,anatomical,0.6666666666666666,0.0
289,7_h_He,5,structural,,
290,7_h_He,5,functional,0.1815476190476196,0.0
291,7_m_Bo,5,anatomical,-0.023462783171520524,0.0
292,7_m_Bo,5,structural,0.3781213983864777,0.0
293,7_m_Bo,5,functional,,
294,7_m_Br,5,anatomical,-0.05905006418485236,0.0
295,7_m_Br,5,structural,-0.0647619047619051,0.0
296,7_m_Br,5,functional,,
297,7_m_Ca,5,anatomical,,
298,7_m_Ca,5,structural,0.012345679012345146,0.0
299,7_m_Ca,5,functional,,
300,7_m_Lo,5,anatomical,0.3274061343204649,0.0
301,7_m_Lo,5,structural,0.4762145748987855,0.0
302,7_m_Lo,5,functional,,
303,7_m_Mi,5,anatomical,0.3794174341400731,0.0
304,7_m_Mi,5,structural,-0.038791981254881126,0.0
305,7_m_Mi,5,functional,,
306,7_m_Se,5,anatomical,0.12498848669061445,0.0
307,7_m_Se,5,structural,-0.0066723239987353964,0.0
308,7_m_Se,5,functional,,
309,7_m_St,5,anatomical,0.5591666666666665,0.0
310,7_m_St,5,structural,,
311,7_m_St,5,functional,,
312,7_rab_Mu,5,anatomical,0.22077922077922046,0.0
313,7_rab_Mu,5,structural,0.12946428571428464,0.0
314,7_rab_Mu,5,functional,,
315,7_r_Se,5,anatomical,0.49784196547144727,0.0
316,7_r_Se,5,structural,0.21100224750667324,0.0
317,7_r_Se,5,functional,,
318,7_r_So,5,anatomical,-0.008064516129019284,0.0
319,7_r_So,5,structural,,
320,7_r_So,5,functional,,
321,94c_m_As,5,anatomical,0.27927927927927826,0.0
322,94c_m_As,5,structural,0.0028490028490027884,0.0
323,94c_m_As,5,functional,-0.00628930817610062,0.0
324,94_g_We,5,anatomical,0.20646234259919477,0.0
325,94_g_We,5,structural,,
326,94_g_We,5,functional,0.06388936388508924,0.0
327,94_m_As,5,anatomical,0.22945205479452063,0.0
328,94_m_As,5,structural,0.358333333333333,0.0
329,94_m_As,5,functional,0.09317211948790864,0.0
330,94_m_Rei,5,anatomical,-0.04166666666666695,0.0
331,94_m_Rei,5,structural,,
332,94_m_Rei,5,functional,,
333,94_m_Va,5,anatomical,0.16717356042173506,0.0
334,94_m_Va,5,structural,0.20041397809279443,0.0
335,94_m_Va,5,functional,,
336,94_m_We,5,anatomical,0.35481003997746235,0.0
337,94_m_We,5,structural,-0.2237762237762244,0.0
338,94_m_We,5,functional,-0.053610406606580764,0.0
339,94_r_Fr,5,anatomical,0.27978956403350363,0.0
340,94_r_Fr,5,structural,-0.1057981266854249,0.0
341,94_r_Fr,5,functional,,
342,94_r_We,5,anatomical,-0.01052009456264832,0.0
343,94_r_We,5,structural,-0.12973074750517824,0.0
344,94_r_We,5,functional,0.11179775280898588,0.0
